House area,Storeys,Yard Area,Water supply,Electricity,House Material,House Condition,Number of Bedrooms,Land Category,Ground Status,Bathroom,Sewerage,Heating,Gas,Cellar,Terrace,Garage,Bath,Security,Swimming pool,Year Built,Class,Price
360.0,2.0,4.31,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,85000000.0
386.0,2.0,8.0,Central,Yes,Monolithic,Can live,7.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,43000000.0
300.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,41000000.0
300.0,2.0,18.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Magistralny along the border,0.0,0.0,1.0,1.0,1.0,1.0,,Other,38000000.0
300.0,2.0,10.0,Central,Yes,Brick,Can live,5.0,Not specified,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,0.0,1.0,,Other,32000000.0
250.0,2.0,10.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,25000000.0
260.0,2.0,10.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,32000000.0
520.0,2.0,25.0,Central,Yes,Monolithic,Not specified,7.0,Not specified,Individual housing construction,4 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2022.0,Other,24500000.0
400.0,2.0,15.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,30000000.0
260.0,2.0,12.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,1.0,,Other,32000000.0
212.0,2.0,5.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,47000000.0
700.0,3.0,20.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,39000000.0
238.0,2.0,6.7,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,1.0,0.0,,Other,26990000.0
350.0,2.0,9.0,Yes,Yes,Gas concrete block,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,1.0,1.0,1.0,,Other,35000000.0
310.0,2.0,17.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,35500000.0
250.0,3.0,6.0,Central,Yes,Gas concrete block,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,1.0,1.0,2022.0,Other,18000000.0
280.0,2.0,9.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,31000000.0
240.0,2.0,15.0,Central,Yes,Monolithic,Can live,4.0,Not specified,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,19000000.0
200.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,19000000.0
130.0,2.0,2.5,Central,Yes,Frame,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,26000000.0
180.0,2.0,5.0,No,Yes,Monolithic,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,28000000.0
100.0,2.0,3.0,No,Yes,Monolithic,Not specified,,Not specified,Not specified,Not specified,Yes,Electric,No,0.0,0.0,1.0,1.0,0.0,0.0,,Other,30000000.0
800.0,3.0,7.8,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2014.0,Other,40000000.0
550.0,2.0,30.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,110000000.0
360.0,2.0,9.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,32000000.0
430.0,2.0,17.0,Central,Yes,Monolithic,Can live,7.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2023.0,Other,37000000.0
463.0,3.0,7.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,In the house,Central,Central gas,Magistralny along the border,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,27500000.0
260.0,3.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,39500000.0
318.0,2.0,52.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,No,No,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,35000000.0
200.0,2.0,6.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,1.0,0.0,2021.0,Other,25000000.0
129.0,3.0,5.5,Central,Yes,Wood,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,Other,27300000.0
408.0,,10.0,Yes,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,39000000.0
160.0,2.0,8.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,18000000.0
115.0,2.0,6.0,Central,Yes,Frame,Can live,6.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,1.0,0.0,0.0,2015.0,Other,15750000.0
160.0,2.0,4.5,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,35000000.0
125.0,2.0,6.0,Central,Yes,Monolithic,Can live,2.0,Not specified,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,,Other,32000000.0
170.0,1.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2017.0,Other,25000000.0
150.0,2.0,3.5,Central,No,Gas concrete block,Needs repairs,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,No,Magistralny along the border,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,Other,12500000.0
250.0,3.0,7.0,Central,Yes,Monolithic,Not specified,6.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,29000000.0
280.0,2.0,14.0,Central,Yes,Monolithic,Can live,4.0,Agricultural,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,40000000.0
380.0,2.0,22.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,36500000.0
337.5,2.0,7.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,25000000.0
370.0,2.0,6.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,38500000.0
210.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2012.0,Other,22600000.0
690.0,3.0,10.0,Central,Yes,Brick,Can live,,Lands of populated areas,Individual housing construction,1 at home,Central,Diesel,No,0.0,1.0,0.0,0.0,0.0,0.0,2014.0,Other,60000000.0
98.9,3.0,1.84,No,Yes,Other,Needs repairs,,Lands of populated areas,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,Other,20000000.0
250.0,3.0,8.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,2 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2018.0,Other,21000000.0
200.0,2.0,2.0,Central,Yes,Monolithic,Can live,14.0,Lands of populated areas,Individual housing construction,6 at home,Septic,Electric,Gasholder,1.0,1.0,0.0,0.0,0.0,0.0,2017.0,Other,27000000.0
170.0,2.0,8.0,Yes,Yes,Gas concrete block,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,17000000.0
250.0,2.0,12.0,No,No,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,Business,35000000.0
270.0,3.0,5.3,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,148500000.0
250.0,2.0,6.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Gasholder,0.0,0.0,1.0,1.0,1.0,0.0,,Other,18000000.0
350.0,2.0,9.0,Yes,Yes,Wood,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,23000000.0
121.0,2.0,2.0,Central,Yes,Monolithic,Needs repairs,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,17500000.0
270.0,,4.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,23000000.0
190.0,2.0,6.0,Central,Yes,Monolithic,Not specified,5.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,1.0,0.0,2022.0,Other,30000000.0
380.0,2.0,8.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,2020.0,Other,35000000.0
260.0,2.0,10.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,21560000.0
195.0,2.0,5.0,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,1.0,0.0,2023.0,Other,37000000.0
143.0,2.0,5.7,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,27000000.0
236.0,3.0,7.25,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,14000000.0
180.0,3.0,10.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,30000000.0
360.0,2.0,7.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,14500000.0
188.0,2.0,6.0,Central,Yes,Monolithic,Needs repairs,4.0,Not specified,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,2024.0,Other,85000000.0
280.0,2.0,13.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,24000000.0
170.0,2.0,3.0,No,Yes,Monolithic,Not specified,,Not specified,Not specified,Not specified,Yes,Autonomous gas,Yes,0.0,0.0,1.0,1.0,1.0,1.0,,Other,22000000.0
350.0,2.0,9.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,0.0,1.0,1.0,2021.0,Other,23000000.0
250.0,2.0,25.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,35500000.0
318.0,,52.0,Central,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,Not specified,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,27000000.0
340.0,2.0,10.0,Central,Yes,Other,Not specified,2.0,Not specified,Individual housing construction,5 at home,Central,No,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,41000000.0
300.0,2.0,8.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2016.0,Other,32500000.0
30.8,1.0,7.65,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,11000000.0
183.0,3.0,5.7,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,32000000.0
375.0,3.0,9.0,Central,Yes,Other,Not specified,6.0,Not specified,Individual housing construction,6 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,19200000.0
390.0,3.0,6.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,85000000.0
760.0,2.0,15.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,25500000.0
441.0,2.0,18.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,32000000.0
350.0,3.0,6.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Economy,165000000.0
200.0,3.0,10.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,,Other,30000000.0
450.0,2.0,12.0,Yes,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,26000000.0
140.0,2.0,3.0,No,Yes,Frame,Not specified,,Not specified,Not specified,Not specified,Yes,Autonomous gas,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,16000000.0
231.0,2.0,12.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,24000000.0
300.0,2.0,7.0,Central,Yes,Brick,Can live,5.0,Not specified,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,0.0,1.0,,Other,30000000.0
220.0,2.0,7.5,Central,Yes,Other,Not specified,5.0,Not specified,Individual housing construction,3 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,21000000.0
168.0,2.0,6.0,Central,Yes,Brick,Needs repairs,,Lands of populated areas,Individual housing construction,Not specified,Central,Central gas,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,0.0,,Other,27000000.0
268.0,1.0,15.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,6 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,15000000.0
180.0,2.0,9.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,18000000.0
208.0,2.0,6.0,Central,Yes,Monolithic,Not specified,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,No,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,Other,29000000.0
360.0,3.0,7.0,Yes,Yes,Other,Not specified,12.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,35000000.0
186.0,2.0,6.0,Central,Yes,Monolithic,Can live,2.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,22500000.0
117.0,3.0,1.0,Central,Yes,Foam concrete block,Not specified,6.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,Other,32000000.0
478.0,2.0,10.0,Central,Yes,Brick,Can live,6.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,39000000.0
250.0,3.0,6.0,Central,Yes,Monolithic,Can live,5.0,Other,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,0.0,1.0,2019.0,Other,26000000.0
195.5,3.0,6.0,Yes,Yes,Block,Not specified,6.0,Not specified,Not specified,In the house,No,No,No,0.0,0.0,1.0,1.0,1.0,0.0,2022.0,Other,17800000.0
180.0,2.0,9.0,Central,Yes,Monolithic,Not specified,6.0,Not specified,Individual housing construction,6 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2017.0,Other,14700000.0
240.0,3.0,4.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,46000000.0
287.0,3.0,7.3,Central,Yes,Gas concrete block,Can live,2.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Electric,Magistralny along the border,0.0,1.0,1.0,0.0,0.0,0.0,2004.0,Other,19000000.0
86.0,1.0,4.0,Central,Yes,Monolithic,Can live,2.0,Lands of populated areas,Individual housing construction,1 in yard,Septic,Electric,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,Other,16700000.0
650.0,2.0,40.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,21000000.0
350.0,1.0,22.0,Yes,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,1.0,1.0,1.0,2012.0,Other,25000000.0
400.0,2.0,12.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,3 at home,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,2020.0,Other,19500000.0
435.0,,1.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,80000000.0
200.0,3.0,12.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,30000000.0
200.0,2.0,6.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,1.0,2021.0,Other,25000000.0
200.0,2.0,5.0,No,No,Other,Can live,6.0,Not specified,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,20000000.0
200.0,2.0,10.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,0.0,1.0,0.0,2019.0,Other,23000000.0
155.0,2.0,5.0,Central,Yes,Wood,Can live,3.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,1.0,0.0,2016.0,Other,45000000.0
230.0,3.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,27900000.0
180.0,2.0,4.0,Central,Yes,Gas concrete block,Not specified,3.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,18000000.0
169.0,2.0,6.0,Central,Yes,Gas concrete block,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Electric,No,0.0,1.0,0.0,0.0,0.0,0.0,2020.0,Other,20000000.0
300.0,,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,70000000.0
220.0,2.0,6.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,30000000.0
113.0,1.0,3.5,No,Yes,Monolithic,Not specified,,Not specified,Not specified,Not specified,Yes,Electric,No,0.0,0.0,0.0,0.0,1.0,1.0,,Other,25000000.0
195.0,2.0,7.6,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,0.0,0.0,2023.0,Other,19600000.0
250.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,38000000.0
230.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,35000000.0
260.0,2.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,24800000.0
150.0,2.0,5.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,25000000.0
250.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Not specified,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,42000000.0
140.0,,3.0,Central,Yes,Monolithic,Needs repairs,2.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,0.0,2023.0,Other,25500000.0
360.0,3.0,12.0,Central,Yes,Monolithic,Can live,4.0,Not specified,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,0.0,1.0,2021.0,Other,37000000.0
360.0,2.0,12.0,Central,Yes,Brick,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,37000000.0
180.0,2.0,5.0,Central,Yes,Other,Can live,3.0,Not specified,Gardening,1 at home,Septic,Electric,No,0.0,1.0,0.0,0.0,0.0,0.0,2016.0,Other,17000000.0
500.0,3.0,25.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,27000000.0
260.0,2.0,7.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,28650000.0
340.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,30000000.0
550.0,1.0,20.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2017.0,Other,30000000.0
335.6,3.0,6.65,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,32000000.0
350.0,2.0,15.0,Central,Yes,Monolithic,Can live,7.0,Lands of populated areas,Individual housing construction,7 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,42000000.0
200.0,2.0,7.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,0.0,1.0,0.0,2020.0,Other,19000000.0
500.0,3.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,29500000.0
200.0,2.0,8.0,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2022.0,Other,21000000.0
